timestamp,timestamp_absolute,timestamp_iso,cpu_cycles,instructions,cache_references,cache_misses,branches,branch_misses,page_faults,context_switches,cpu_utilization,cpu_user_time,cpu_system_time,cpu_nice_time,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_idle,memory_usage_percent,memory_available_gb,disk_io_read_mb,disk_io_write_mb,network_bytes_sent,network_bytes_recv,process_count,load_average_1min,load_average_5min,load_average_15min,instructions_per_cycle,cache_miss_ratio,branch_miss_ratio,cpu_efficiency,sys_cpu_user_seconds,sys_cpu_system_seconds,sys_cpu_total_seconds,sys_context_switches,sys_processes_created,sys_procs_running,sys_procs_blocked,collection_interval,time_delta_seconds,vm_hostname,core_count
111.0,1757535578.480949,2025-09-10T16:19:37.038224,0,0,0,0,0,0,0,0,96.74999999997495,95.24999999997522,0.0,0.0,0.0,0.7499999999999335,0.249999999999963,0.4999999999998372,3.250000000025054,25.1,8.895244598388672,0.0,0.0,90,215,328,3.5654296875,2.93896484375,1.7939453125,0.0,0.0,0.0,0.9524999999997522,3.81,0.0,3.81,255,0,5,0,1.0,1.0001177787780762,fedora,4
112.0,1757535579.483565,2025-09-10T16:19:38.038224,0,0,0,0,0,0,0,0,96.0000000000039,95.25000000000391,0.0,0.0,0.0,0.7499999999999805,0.0,0.0,3.999999999996106,25.1,8.895244598388672,0.0,0.0,90,73,328,3.5654296875,2.93896484375,1.7939453125,0.0,0.0,0.0,0.9525000000000391,3.81,0.0,3.81,222,0,5,0,1.0,1.0003893375396729,fedora,4
113.0,1757535580.4905717,2025-09-10T16:19:39.038224,0,0,0,0,0,0,0,0,96.49122807018949,94.98746867169262,0.0,0.0,0.0,1.0025062656644685,0.0,0.5012531328324122,3.5087719298105022,25.1,8.895244598388672,0.0,0.0,0,52,328,3.6005859375,2.95703125,1.80615234375,0.0,0.0,0.0,0.9498746867169262,3.79,0.0,3.79,195,0,5,0,1.0,1.0008037090301514,fedora,4
114.0,1757535581.4931815,2025-09-10T16:19:40.038224,0,0,0,0,0,0,0,0,96.5174129353379,95.02487562190501,0.0,0.0,0.0,0.7462686567164389,0.0,0.7462686567164389,3.4825870646621038,25.1,8.895244598388672,0.0,0.0,0,73,328,3.6005859375,2.95703125,1.80615234375,0.0,0.0,0.0,0.9502487562190501,3.81,0.0,3.81,183,0,5,0,1.0,1.000093698501587,fedora,4
115.0,1757535582.4965825,2025-09-10T16:19:41.038224,0,0,0,0,0,0,0,0,96.00997506234802,95.0124688279343,0.0,0.0,0.0,0.7481296758104561,0.0,0.24937655860324914,3.9900249376519863,25.1,8.895244598388672,0.0,0.0,0,52,328,3.6005859375,2.95703125,1.80615234375,0.0,0.0,0.0,0.950124688279343,3.82,0.0,3.82,218,0,4,0,1.0,1.0010976791381836,fedora,4
116.0,1757535583.500368,2025-09-10T16:19:42.038224,0,0,0,0,0,0,0,0,96.49999999996972,95.24999999997002,0.0,0.0,0.0,0.7499999999995373,0.0,0.5000000000001652,3.5000000000302887,25.1,8.895244598388672,0.0,0.0,0,0,327,3.6005859375,2.95703125,1.80615234375,0.0,0.0,0.0,0.9524999999997001,3.81,0.0,3.81,213,0,4,0,1.0,1.000108003616333,fedora,4
117.0,1757535584.5053036,2025-09-10T16:19:43.038224,0,0,0,0,0,0,0,0,96.50000000001359,95.25000000001366,0.24999999999984188,0.0,0.0,0.7500000000002363,0.0,0.24999999999984188,3.499999999986418,25.1,8.895244598388672,0.0,0.0,0,218,327,3.6005859375,2.95703125,1.80615234375,0.0,0.0,0.0,0.955000000000135,3.81,0.01,3.82,230,0,5,0,1.0,1.00010347366333,fedora,4
118.0,1757535585.5113425,2025-09-10T16:19:44.038224,0,0,0,0,0,0,0,0,96.99248120298775,93.48370927316316,0.0,0.0,0.0,1.0025062656642219,0.0,2.506265664160377,3.007518797012255,25.1,8.895244598388672,0.0,0.0,0,166,327,3.6328125,2.974609375,1.818359375,0.0,0.0,0.0,0.9348370927316316,3.73,0.0,3.73,170,0,5,0,1.0,1.000105857849121,fedora,4
119.0,1757535586.5188794,2025-09-10T16:19:45.038224,0,0,0,0,0,0,0,0,97.26368159206986,93.5323383084875,0.24875621890531116,0.0,0.0,0.9950248756219516,0.2487562189055321,2.238805970149568,2.7363184079301424,25.1,8.895244598388672,0.0,0.0,0,118,327,3.6328125,2.974609375,1.818359375,0.0,0.0,0.0,0.937810945273928,3.76,0.01,3.7699999999999996,208,0,5,0,1.0,1.0000977516174316,fedora,4
120.0,1757535587.5233183,2025-09-10T16:19:46.038224,0,0,0,0,0,0,0,0,97.51243781093646,93.28358208954309,0.24875621890592903,0.0,0.0,0.9950248756219486,0.0,2.9850746268654924,2.4875621890635324,25.1,8.895244598388672,0.0,0.0,0,166,327,3.6328125,2.974609375,1.818359375,0.0,0.0,0.0,0.9353233830844901,3.75,0.01,3.76,184,0,5,0,1.0,1.0000958442687988,fedora,4
121.0,1757535588.5264559,2025-09-10T16:19:47.038224,0,0,0,0,0,0,0,0,96.49122807018968,95.23809523810942,0.25062656641583747,0.0,0.0,0.7518796992482247,0.0,0.25062656641619363,3.5087719298103273,25.1,8.895244598388672,0.0,0.0,0,125,327,3.6328125,2.974609375,1.818359375,0.0,0.0,0.0,0.9548872180452526,3.81,0.01,3.82,223,0,5,0,1.0,1.000117540359497,fedora,4
122.0,1757535589.529573,2025-09-10T16:19:48.038224,0,0,0,0,0,0,0,0,89.74999999996373,85.99999999996598,1.9999999999985152,0.0,0.0,0.9999999999996129,0.0,0.7499999999996207,10.250000000036264,25.1,8.895618438720703,0.0,0.0,0,73,327,3.6328125,2.974609375,1.818359375,0.0,0.0,0.0,0.8799999999996451,3.44,0.08,3.52,314,6,5,0,1.0,1.000831127166748,fedora,4
123.0,1757535590.535232,2025-09-10T16:19:49.038224,0,0,0,0,0,0,0,0,100.0,97.99498746867165,0.5012531328323552,0.0,0.0,0.7518796992478204,0.0,0.7518796992481765,0.0,25.1,8.895484924316406,0.0,0.19921875,66,191,316,3.66259765625,2.99169921875,1.830078125,0.0,0.0,0.0,0.9849624060150401,3.9,0.02,3.92,251,0,5,0,1.0,1.0000982284545898,fedora,4
124.0,1757535591.540815,2025-09-10T16:19:50.038224,0,0,0,0,0,0,0,0,100.0,98.99999999999999,0.0,0.0,0.0,0.7500000000000214,0.24999999999999234,0.0,0.0,25.1,8.895484924316406,0.0,0.0,0,0,316,3.66259765625,2.99169921875,1.830078125,0.0,0.0,0.0,0.9899999999999999,3.96,0.0,3.96,106,0,5,0,1.0,1.0000927448272705,fedora,4
125.0,1757535592.5450583,2025-09-10T16:19:51.038224,0,0,0,0,0,0,0,0,100.0,99.24999999999984,0.0,0.0,0.0,0.750000000000151,0.0,0.0,0.0,25.1,8.895484924316406,0.0,0.0,0,52,316,3.66259765625,2.99169921875,1.830078125,0.0,0.0,0.0,0.9924999999999984,3.97,0.0,3.97,123,0,5,0,1.0,1.0001091957092285,fedora,4
126.0,1757535593.5500906,2025-09-10T16:19:52.038224,0,0,0,0,0,0,0,0,100.0,99.00000000000021,0.0,0.0,0.0,0.7500000000000231,0.0,0.24999999999977085,0.0,25.1,8.895484924316406,0.0,1.0390625,0,0,316,3.66259765625,2.99169921875,1.830078125,0.0,0.0,0.0,0.9900000000000021,3.96,0.0,3.96,157,0,5,0,1.0,1.0001287460327148,fedora,4
127.0,1757535594.556319,2025-09-10T16:19:53.038224,0,0,0,0,0,0,0,0,100.0,98.75311720698262,0.24937655860326235,0.0,0.0,0.7481296758104959,0.0,0.24937655860361677,0.0,25.1,8.895500183105469,0.0,0.0,0,218,316,3.66259765625,2.99169921875,1.830078125,0.0,0.0,0.0,0.9900249376558589,3.96,0.01,3.9699999999999998,163,0,5,0,1.0,1.0001051425933838,fedora,4
128.0,1757535595.5615737,2025-09-10T16:19:54.038224,0,0,0,0,0,0,0,0,100.0,99.24433249370267,0.0,0.0,0.0,0.7556675062973338,0.0,0.0,0.0,25.1,8.895500183105469,0.0,0.0,42,42,316,3.68994140625,3.0087890625,1.841796875,0.0,0.0,0.0,0.9924433249370267,3.94,0.0,3.94,122,0,5,0,1.0,1.0009264945983887,fedora,4
129.0,1757535596.5673985,2025-09-10T16:19:55.038224,0,0,0,0,0,0,0,0,100.0,96.74999999999933,0.2500000000004885,0.0,0.0,0.7500000000000444,0.0,2.2500000000001332,0.0,25.1,8.895500183105469,0.0,0.0,0,218,316,3.68994140625,3.0087890625,1.841796875,0.0,0.0,0.0,0.9699999999999982,3.87,0.01,3.88,132,0,5,0,1.0,1.0001156330108643,fedora,4
130.0,1757535597.5747523,2025-09-10T16:19:56.038224,0,0,0,0,0,0,0,0,100.0,99.24999999999984,0.0,0.0,0.0,0.750000000000151,0.0,0.0,0.0,25.1,8.895500183105469,0.0,0.0,0,166,316,3.68994140625,3.0087890625,1.841796875,0.0,0.0,0.0,0.9924999999999984,3.97,0.0,3.97,166,0,5,0,1.0,1.0000934600830078,fedora,4
131.0,1757535598.5800924,2025-09-10T16:19:57.038224,0,0,0,0,0,0,0,0,100.0,99.00000000000021,0.0,0.0,0.0,0.7500000000000231,0.0,0.24999999999977085,0.0,25.1,8.895500183105469,0.0,0.0,0,125,316,3.68994140625,3.0087890625,1.841796875,0.0,0.0,0.0,0.9900000000000021,3.96,0.0,3.96,166,0,5,0,1.0,1.0000979900360107,fedora,4
